article_frequency,transcript_frequency,emotion_differences,average_difference
"{'fear': 0.05241935483870968, 'anger': 0.036290322580645164, 'trust': 0.21370967741935484, 'surprise': 0.024193548387096774, 'positive': 0.28225806451612906, 'negative': 0.06854838709677419, 'sadness': 0.04435483870967742, 'disgust': 0.008064516129032258, 'joy': 0.10483870967741936, 'anticipation': 0.16532258064516128}","{'fear': 0.07766990291262135, 'anger': 0.07281553398058252, 'trust': 0.11650485436893204, 'surprise': 0.03398058252427184, 'positive': 0.21844660194174756, 'negative': 0.10194174757281553, 'sadness': 0.06796116504854369, 'disgust': 0.06796116504854369, 'joy': 0.10194174757281553, 'anticipation': 0.1407766990291262}","{'positive': 0.0638114625743815, 'negative': 0.03339336047604134, 'anticipation': 0.024545881616035076, 'joy': 0.0028969621046038285, 'fear': 0.025250548073911673, 'trust': 0.0972048230504228, 'sadness': 0.023606326338866265, 'disgust': 0.05989664891951143, 'surprise': 0.00978703413717507, 'anger': 0.036525211399937356}",0.03769182586908863
"{'fear': 0.1118421052631579, 'anger': 0.10526315789473684, 'trust': 0.125, 'surprise': 0.039473684210526314, 'positive': 0.18421052631578946, 'negative': 0.13815789473684212, 'sadness': 0.09868421052631579, 'disgust': 0.06578947368421052, 'joy': 0.05921052631578947, 'anticipation': 0.07236842105263158}","{'fear': 0.06422018348623854, 'anger': 0.06422018348623854, 'trust': 0.18807339449541285, 'surprise': 0.04128440366972477, 'positive': 0.23853211009174313, 'negative': 0.08256880733944955, 'sadness': 0.05504587155963303, 'disgust': 0.045871559633027525, 'joy': 0.07339449541284404, 'anticipation': 0.14678899082568808}","{'positive': 0.05432158377595367, 'negative': 0.05558908739739257, 'anticipation': 0.0744205697730565, 'joy': 0.01418396909705457, 'fear': 0.04762192177691936, 'trust': 0.06307339449541285, 'sadness': 0.04363833896668276, 'disgust': 0.019917914051182997, 'surprise': 0.0018107194591984593, 'anger': 0.0410429744084983}",0.0415620473201352
"{'fear': 0.05134474327628362, 'anger': 0.05867970660146699, 'trust': 0.24449877750611246, 'surprise': 0.05378973105134474, 'positive': 0.20293398533007334, 'negative': 0.097799511002445, 'sadness': 0.06601466992665037, 'disgust': 0.029339853300733496, 'joy': 0.08068459657701711, 'anticipation': 0.11491442542787286}","{'fear': 0.0784313725490196, 'anger': 0.06162464985994398, 'trust': 0.19047619047619047, 'surprise': 0.05042016806722689, 'positive': 0.22969187675070027, 'negative': 0.10644257703081232, 'sadness': 0.06722689075630252, 'disgust': 0.022408963585434174, 'joy': 0.07282913165266107, 'anticipation': 0.12044817927170869}","{'positive': 0.026757891420626928, 'negative': 0.008643066028367327, 'anticipation': 0.005533753843835823, 'joy': 0.007855464924356043, 'fear': 0.027086629272735988, 'trust': 0.05402258702992199, 'sadness': 0.0012122208296521525, 'disgust': 0.006930889715299322, 'surprise': 0.0033695629841178493, 'anger': 0.0029449432584769883}",0.014435700930739042
"{'fear': 0.04316546762589928, 'anger': 0.06115107913669065, 'trust': 0.20863309352517986, 'surprise': 0.050359712230215826, 'positive': 0.29136690647482016, 'negative': 0.050359712230215826, 'sadness': 0.02158273381294964, 'disgust': 0.0035971223021582736, 'joy': 0.10431654676258993, 'anticipation': 0.16546762589928057}","{'fear': 0.06611570247933884, 'anger': 0.05950413223140496, 'trust': 0.1578512396694215, 'surprise': 0.06446280991735537, 'positive': 0.2545454545454545, 'negative': 0.06859504132231405, 'sadness': 0.03140495867768595, 'disgust': 0.02975206611570248, 'joy': 0.10495867768595041, 'anticipation': 0.1628099173553719}","{'positive': 0.036821451929365645, 'negative': 0.01823532909209822, 'anticipation': 0.0026577085439086767, 'joy': 0.0006421309233604761, 'fear': 0.022950234853439562, 'trust': 0.05078185385575837, 'sadness': 0.009822224864736311, 'disgust': 0.026154943813544204, 'surprise': 0.014103097687139542, 'anger': 0.00164694690528569}",0.01838159224686367
"{'fear': 0.043478260869565216, 'anger': 0.05217391304347826, 'trust': 0.10434782608695652, 'surprise': 0.06086956521739131, 'positive': 0.26956521739130435, 'negative': 0.10434782608695652, 'sadness': 0.043478260869565216, 'disgust': 0.017391304347826087, 'joy': 0.1391304347826087, 'anticipation': 0.16521739130434782}","{'fear': 0.04005524861878453, 'anger': 0.029005524861878452, 'trust': 0.19475138121546962, 'surprise': 0.07734806629834254, 'positive': 0.27624309392265195, 'negative': 0.04834254143646409, 'sadness': 0.026243093922651933, 'disgust': 0.017955801104972375, 'joy': 0.13259668508287292, 'anticipation': 0.1574585635359116}","{'positive': 0.006677876531347604, 'negative': 0.056005284650492426, 'anticipation': 0.007758827768436227, 'joy': 0.006533749699735775, 'fear': 0.003423012250780684, 'trust': 0.0904035551285131, 'sadness': 0.017235166946913284, 'disgust': 0.0005644967571462878, 'surprise': 0.01647850108095123, 'anger': 0.023168388181599806}",0.02282488589959164
"{'fear': 0.06779661016949153, 'anger': 0.03389830508474576, 'trust': 0.1694915254237288, 'surprise': 0.03389830508474576, 'positive': 0.288135593220339, 'negative': 0.0847457627118644, 'sadness': 0.06779661016949153, 'disgust': 0.0, 'joy': 0.11864406779661017, 'anticipation': 0.13559322033898305}","{'fear': 0.04964539007092199, 'anger': 0.04964539007092199, 'trust': 0.11702127659574468, 'surprise': 0.07624113475177305, 'positive': 0.2695035460992908, 'negative': 0.05851063829787234, 'sadness': 0.03368794326241135, 'disgust': 0.028368794326241134, 'joy': 0.1099290780141844, 'anticipation': 0.2074468085106383}","{'positive': 0.018632047121048212, 'negative': 0.02623512441399206, 'anticipation': 0.07185358817165524, 'joy': 0.00871498978242577, 'fear': 0.018151220098569537, 'trust': 0.05247024882798412, 'sadness': 0.03410866690708018, 'disgust': 0.028368794326241134, 'surprise': 0.042342829667027286, 'anger': 0.015747084986176225}",0.031662459430219975
"{'fear': 0.07534246575342465, 'anger': 0.08904109589041095, 'trust': 0.2602739726027397, 'surprise': 0.0410958904109589, 'positive': 0.1506849315068493, 'negative': 0.1232876712328767, 'sadness': 0.0821917808219178, 'disgust': 0.03424657534246575, 'joy': 0.0273972602739726, 'anticipation': 0.11643835616438356}","{'fear': 0.04484304932735426, 'anger': 0.03587443946188341, 'trust': 0.23766816143497757, 'surprise': 0.053811659192825115, 'positive': 0.2645739910313901, 'negative': 0.08968609865470852, 'sadness': 0.04932735426008968, 'disgust': 0.013452914798206279, 'joy': 0.07623318385650224, 'anticipation': 0.13452914798206278}","{'positive': 0.11388905952454081, 'negative': 0.03360157257816819, 'anticipation': 0.018090791817679225, 'joy': 0.04883592358252964, 'fear': 0.030499416426070396, 'trust': 0.02260581116776214, 'sadness': 0.03286442656182812, 'disgust': 0.020793660544259473, 'surprise': 0.012715768781866213, 'anger': 0.053166656428527546}",0.03870630874132318
"{'fear': 0.05, 'anger': 0.0375, 'trust': 0.2875, 'surprise': 0.0875, 'positive': 0.1875, 'negative': 0.075, 'sadness': 0.0375, 'disgust': 0.025, 'joy': 0.0875, 'anticipation': 0.125}","{'fear': 0.07167832167832168, 'anger': 0.055944055944055944, 'trust': 0.1451048951048951, 'surprise': 0.06293706293706294, 'positive': 0.2202797202797203, 'negative': 0.0944055944055944, 'sadness': 0.05944055944055944, 'disgust': 0.03146853146853147, 'joy': 0.07692307692307693, 'anticipation': 0.18181818181818182}","{'positive': 0.03277972027972029, 'negative': 0.019405594405594404, 'anticipation': 0.05681818181818182, 'joy': 0.010576923076923067, 'fear': 0.021678321678321677, 'trust': 0.14239510489510487, 'sadness': 0.02194055944055944, 'disgust': 0.00646853146853147, 'surprise': 0.02456293706293705, 'anger': 0.018444055944055945}",0.03550699300699301
"{'fear': 0.014084507042253521, 'anger': 0.0, 'trust': 0.15492957746478872, 'surprise': 0.07042253521126761, 'positive': 0.352112676056338, 'negative': 0.028169014084507043, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.11267605633802817, 'anticipation': 0.2676056338028169}","{'fear': 0.058664259927797835, 'anger': 0.05415162454873646, 'trust': 0.14981949458483754, 'surprise': 0.0776173285198556, 'positive': 0.24097472924187727, 'negative': 0.07310469314079422, 'sadness': 0.0388086642599278, 'disgust': 0.018050541516245487, 'joy': 0.1272563176895307, 'anticipation': 0.1615523465703971}","{'positive': 0.11113794681446074, 'negative': 0.044935679056287176, 'anticipation': 0.10605328723241977, 'joy': 0.014580261351502519, 'fear': 0.04457975288554431, 'trust': 0.005110082879951183, 'sadness': 0.0388086642599278, 'disgust': 0.018050541516245487, 'surprise': 0.007194793308587993, 'anger': 0.05415162454873646}",0.04446026338536635
"{'fear': 0.04054054054054054, 'anger': 0.02702702702702703, 'trust': 0.17567567567567569, 'surprise': 0.0, 'positive': 0.33783783783783783, 'negative': 0.06756756756756757, 'sadness': 0.04054054054054054, 'disgust': 0.02702702702702703, 'joy': 0.13513513513513514, 'anticipation': 0.14864864864864866}","{'fear': 0.055762081784386616, 'anger': 0.04708798017348203, 'trust': 0.16604708798017348, 'surprise': 0.04956629491945477, 'positive': 0.26889714993804215, 'negative': 0.06691449814126393, 'sadness': 0.02973977695167286, 'disgust': 0.023543990086741014, 'joy': 0.13506815365551425, 'anticipation': 0.15737298636926889}","{'positive': 0.06894068789979568, 'negative': 0.0006530694263036374, 'anticipation': 0.008724337720620229, 'joy': 6.698147962089229e-05, 'fear': 0.015221541243846073, 'trust': 0.009628587695502205, 'sadness': 0.010800763588867682, 'disgust': 0.003483036940286014, 'surprise': 0.04956629491945477, 'anger': 0.020060953146455}",0.01871462540607522
"{'fear': 0.09411764705882353, 'anger': 0.06470588235294118, 'trust': 0.15294117647058825, 'surprise': 0.03823529411764706, 'positive': 0.18529411764705883, 'negative': 0.13529411764705881, 'sadness': 0.08235294117647059, 'disgust': 0.06764705882352941, 'joy': 0.07352941176470588, 'anticipation': 0.10588235294117647}","{'fear': 0.0880281690140845, 'anger': 0.06514084507042253, 'trust': 0.13028169014084506, 'surprise': 0.07922535211267606, 'positive': 0.2130281690140845, 'negative': 0.0897887323943662, 'sadness': 0.0528169014084507, 'disgust': 0.035211267605633804, 'joy': 0.09507042253521127, 'anticipation': 0.15140845070422534}","{'positive': 0.02773405136702567, 'negative': 0.04550538525269261, 'anticipation': 0.045526097763048876, 'joy': 0.02154101077050538, 'fear': 0.006089478044739027, 'trust': 0.022659486329743184, 'sadness': 0.029536039768019884, 'disgust': 0.0324357912178956, 'surprise': 0.040990057995029, 'anger': 0.0004349627174813492}",0.027245236122618054
"{'fear': 0.09722222222222222, 'anger': 0.09722222222222222, 'trust': 0.09722222222222222, 'surprise': 0.05555555555555555, 'positive': 0.125, 'negative': 0.125, 'sadness': 0.08333333333333333, 'disgust': 0.08333333333333333, 'joy': 0.08333333333333333, 'anticipation': 0.1527777777777778}","{'fear': 0.060884070058381985, 'anger': 0.06255212677231026, 'trust': 0.1559633027522936, 'surprise': 0.06839032527105922, 'positive': 0.23269391159299416, 'negative': 0.0750625521267723, 'sadness': 0.030025020850708923, 'disgust': 0.025020850708924104, 'joy': 0.12427022518765637, 'anticipation': 0.1651376146788991}","{'positive': 0.10769391159299416, 'negative': 0.049937447873227694, 'anticipation': 0.012359836901121302, 'joy': 0.040936891854323046, 'fear': 0.03633815216384024, 'trust': 0.05874108053007136, 'sadness': 0.05330831248262441, 'disgust': 0.058312482624409225, 'surprise': 0.012834769715503666, 'anger': 0.03467009544991197}",0.04651329811880271
"{'fear': 0.0975609756097561, 'anger': 0.0975609756097561, 'trust': 0.15853658536585366, 'surprise': 0.10975609756097561, 'positive': 0.18292682926829268, 'negative': 0.08536585365853659, 'sadness': 0.024390243902439025, 'disgust': 0.012195121951219513, 'joy': 0.08536585365853659, 'anticipation': 0.14634146341463414}","{'fear': 0.05543478260869565, 'anger': 0.05326086956521739, 'trust': 0.15869565217391304, 'surprise': 0.05652173913043478, 'positive': 0.29347826086956524, 'negative': 0.06847826086956521, 'sadness': 0.03695652173913044, 'disgust': 0.02282608695652174, 'joy': 0.10869565217391304, 'anticipation': 0.14565217391304347}","{'positive': 0.11055143160127257, 'negative': 0.01688759278897138, 'anticipation': 0.0006892895015906675, 'joy': 0.02332979851537645, 'fear': 0.04212619300106045, 'trust': 0.00015906680805938267, 'sadness': 0.012566277836691411, 'disgust': 0.010630965005302227, 'surprise': 0.05323435843054083, 'anger': 0.04430010604453871}",0.031447507953340406
"{'fear': 0.11486486486486487, 'anger': 0.13513513513513514, 'trust': 0.14189189189189189, 'surprise': 0.0472972972972973, 'positive': 0.14864864864864866, 'negative': 0.17567567567567569, 'sadness': 0.060810810810810814, 'disgust': 0.0472972972972973, 'joy': 0.02702702702702703, 'anticipation': 0.10135135135135136}","{'fear': 0.07335907335907337, 'anger': 0.07335907335907337, 'trust': 0.11969111969111969, 'surprise': 0.07335907335907337, 'positive': 0.1969111969111969, 'negative': 0.11583011583011583, 'sadness': 0.05019305019305019, 'disgust': 0.03474903474903475, 'joy': 0.09266409266409266, 'anticipation': 0.16988416988416988}","{'positive': 0.04826254826254825, 'negative': 0.05984555984555985, 'anticipation': 0.06853281853281852, 'joy': 0.06563706563706563, 'fear': 0.041505791505791506, 'trust': 0.022200772200772198, 'sadness': 0.010617760617760624, 'disgust': 0.012548262548262551, 'surprise': 0.026061776061776065, 'anger': 0.06177606177606178}",0.04169884169884171
"{'fear': 0.09433962264150944, 'anger': 0.018867924528301886, 'trust': 0.2830188679245283, 'surprise': 0.018867924528301886, 'positive': 0.2830188679245283, 'negative': 0.05660377358490566, 'sadness': 0.018867924528301886, 'disgust': 0.03773584905660377, 'joy': 0.05660377358490566, 'anticipation': 0.1320754716981132}","{'fear': 0.06422018348623854, 'anger': 0.06422018348623854, 'trust': 0.18807339449541285, 'surprise': 0.04128440366972477, 'positive': 0.23853211009174313, 'negative': 0.08256880733944955, 'sadness': 0.05504587155963303, 'disgust': 0.045871559633027525, 'joy': 0.07339449541284404, 'anticipation': 0.14678899082568808}","{'positive': 0.04448675783278516, 'negative': 0.025965033754543884, 'anticipation': 0.014713519127574876, 'joy': 0.01679072182793838, 'fear': 0.030119439155270905, 'trust': 0.09494547342911544, 'sadness': 0.03617794703133115, 'disgust': 0.008135710576423753, 'surprise': 0.022416479141422887, 'anger': 0.04535225895793665}",0.03391033408343431
"{'fear': 0.06878306878306878, 'anger': 0.037037037037037035, 'trust': 0.21164021164021163, 'surprise': 0.037037037037037035, 'positive': 0.3439153439153439, 'negative': 0.07407407407407407, 'sadness': 0.015873015873015872, 'disgust': 0.010582010582010581, 'joy': 0.07407407407407407, 'anticipation': 0.12698412698412698}","{'fear': 0.05309734513274336, 'anger': 0.061946902654867256, 'trust': 0.22123893805309736, 'surprise': 0.035398230088495575, 'positive': 0.3805309734513274, 'negative': 0.07079646017699115, 'sadness': 0.02654867256637168, 'disgust': 0.0, 'joy': 0.04424778761061947, 'anticipation': 0.10619469026548672}","{'positive': 0.03661562953598352, 'negative': 0.0032776138970829205, 'anticipation': 0.020789436718640253, 'joy': 0.0298262864634546, 'fear': 0.015685723650325417, 'trust': 0.009598726412885727, 'sadness': 0.010675656693355809, 'disgust': 0.010582010582010581, 'surprise': 0.0016388069485414603, 'anger': 0.02490986561783022}",0.016359975652011048
"{'fear': 0.04608294930875576, 'anger': 0.03225806451612903, 'trust': 0.17972350230414746, 'surprise': 0.03686635944700461, 'positive': 0.28110599078341014, 'negative': 0.08294930875576037, 'sadness': 0.027649769585253458, 'disgust': 0.018433179723502304, 'joy': 0.1152073732718894, 'anticipation': 0.17972350230414746}","{'fear': 0.04005524861878453, 'anger': 0.029005524861878452, 'trust': 0.19475138121546962, 'surprise': 0.07734806629834254, 'positive': 0.27624309392265195, 'negative': 0.04834254143646409, 'sadness': 0.026243093922651933, 'disgust': 0.017955801104972375, 'joy': 0.13259668508287292, 'anticipation': 0.1574585635359116}","{'positive': 0.004862896860758192, 'negative': 0.03460676731929628, 'anticipation': 0.022264938768235876, 'joy': 0.01738931181098352, 'fear': 0.00602770068997123, 'trust': 0.015027878911322151, 'sadness': 0.0014066756626015253, 'disgust': 0.0004773786185299292, 'surprise': 0.04048170685133793, 'anger': 0.0032525396542505795}",0.014579779514728719
"{'fear': 0.04895104895104895, 'anger': 0.03496503496503497, 'trust': 0.11188811188811189, 'surprise': 0.09090909090909091, 'positive': 0.22377622377622378, 'negative': 0.06993006993006994, 'sadness': 0.027972027972027972, 'disgust': 0.02097902097902098, 'joy': 0.16083916083916083, 'anticipation': 0.2097902097902098}","{'fear': 0.05344827586206897, 'anger': 0.05172413793103448, 'trust': 0.1456896551724138, 'surprise': 0.052586206896551725, 'positive': 0.253448275862069, 'negative': 0.0706896551724138, 'sadness': 0.026724137931034484, 'disgust': 0.03017241379310345, 'joy': 0.1146551724137931, 'anticipation': 0.20086206896551725}","{'positive': 0.029672052085845196, 'negative': 0.0007595852423438604, 'anticipation': 0.008928140824692538, 'joy': 0.046183988425367736, 'fear': 0.004497226911020016, 'trust': 0.03380154328430192, 'sadness': 0.0012478900409934879, 'disgust': 0.00919339281408247, 'surprise': 0.038322884012539186, 'anger': 0.016759102965999514}",0.018936580660718592
"{'fear': 0.06153846153846154, 'anger': 0.015384615384615385, 'trust': 0.24615384615384617, 'surprise': 0.07692307692307693, 'positive': 0.26153846153846155, 'negative': 0.06153846153846154, 'sadness': 0.03076923076923077, 'disgust': 0.015384615384615385, 'joy': 0.12307692307692308, 'anticipation': 0.1076923076923077}","{'fear': 0.042682926829268296, 'anger': 0.051829268292682924, 'trust': 0.18292682926829268, 'surprise': 0.051829268292682924, 'positive': 0.24695121951219512, 'negative': 0.07926829268292683, 'sadness': 0.03353658536585366, 'disgust': 0.03048780487804878, 'joy': 0.1402439024390244, 'anticipation': 0.1402439024390244}","{'positive': 0.014587242026266434, 'negative': 0.01772983114446529, 'anticipation': 0.032551594746716705, 'joy': 0.01716697936210132, 'fear': 0.018855534709193246, 'trust': 0.06322701688555349, 'sadness': 0.0027673545966228896, 'disgust': 0.015103189493433394, 'surprise': 0.025093808630394003, 'anger': 0.03644465290806754}",0.02435272045028143
